o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66
0.029016246,1.09E-05,0,0,0.010812761,0.205846981,0.077613539,0.0047012,0,0,0.016443269,0,0.002842586,0.000262393,0.000655981,0.011807666,0.000163995,2.19E-05,0.000645048,0,0.003935889,0,0,0,1.09E-05,0,0.001027704,0,0,0,0,0,0,0,0,1.09E-05,4.37E-05,2.19E-05,0,0,0,1.09E-05,0,0.081724357,0.431285942,0,0,0,1.09E-05,0,0.003301773,0.000765312,0,0,0,0.084720005,0.032285221,0,0,0,0,0,0,0,0,0
0.003753121,0,0,0,0.005713456,0.060692205,0.032046735,0.002060865,2.79E-05,3.35E-05,0.006713171,0,0.00045797,0.00015638,0.021200663,0.000385365,0.000720465,0,0.00045797,2.79E-05,0.053135699,0,0,0,0,0,0.001357155,0,5.59E-06,0,0,0,0,0,5.59E-06,0,0.000240155,5.03E-05,0,1.68E-05,0,3.91E-05,0,0.037782531,0.72559215,0,0,0,1.12E-05,0,0.000273665,0.000541745,0,0,0,0.041954527,0.004518266,5.59E-06,5.59E-06,1.68E-05,0,0,0,0,0,0
0.006616065,1.16E-05,0,0,0.006233366,0.092178431,0.041430137,0.003647244,5.22E-05,1.16E-05,0.013133556,0,0.001101711,0.000301521,0.010158936,0.001252472,0.000805989,3.48E-05,0.000371103,2.32E-05,0.004789544,0,0,2.32E-05,0,0,0.002649905,0,0,0,0,0,0,0,0,5.80E-06,4.64E-05,0.000133365,0,1.74E-05,5.80E-06,1.74E-05,0,0.054366545,0.704695029,0,0,0,5.80E-06,0,0.001229278,0.00125827,0,0,0,0.038391734,0.014960077,5.80E-06,1.74E-05,1.74E-05,0,0,0,0,0,0
0.005177051,0,1.93E-05,0,0.01770995,0.120016968,0.037849355,0.003788792,0,0,0.007018423,0,0.002140233,0.000462753,0.016688037,0.002468017,0.000983351,0,0.000298861,1.93E-05,0.004714298,0,0.000241017,0,0,0,0.004241904,0,0,0,0,0,0,0,0,0,0.000771255,2.89E-05,0,0,1.93E-05,1.93E-05,0,0.060109711,0.661573168,0,0,0,0,0,0.001243649,0.000858022,0,8.68E-05,0,0.028738901,0.022703828,0,9.64E-06,0,0,0,0,0,0,0
0.011907371,0,0,0,0.001528459,0.094309299,0.022842597,0.004742719,0.000106767,0,0.007490574,0,0.001281208,0.000129245,0.000196677,0.004613474,0.000146103,2.25E-05,0.000258489,1.69E-05,0.000646224,0,2.25E-05,0,0,0,0.000348399,0,0,0,0,0,0,0,1.12E-05,0,2.25E-05,0.000123625,0,0,1.12E-05,0,0,0.046471901,0.739830408,0,0,0,5.62E-06,0,0.001253112,0.001028338,0,0,0,0.044477037,0.016149969,0,0,5.62E-06,0,0,0,0,0,0
0.00489311,0,4.58E-05,0,0.000143915,0.01492137,0.115877751,0.001864354,4.58E-05,0.000104665,0.011186121,0,0.000320538,9.16E-05,0.096671638,0.000490619,5.23E-05,0,2.62E-05,6.54E-05,0.085851846,0,6.54E-06,1.96E-05,0,0,0.002400764,0,0,0,0,0,3.27E-05,0,6.54E-06,2.62E-05,0.000569118,0.000143915,0,3.27E-05,3.27E-05,0,0,0.03300887,0.609676322,0,0,0,0,0,0.000183165,0.000569118,0,4.58E-05,0,0.020089227,6.54E-05,0,0.000104665,0.000333621,0,0,0,0,0,0
0.003118512,8.99E-06,0,0,1.80E-05,0.029369737,0.086788112,0.002660172,8.99E-05,0.000134806,0.013983877,0,0.000260625,0.000296573,0.06702555,0.000997565,3.59E-05,0.000107845,0,2.70E-05,0.034132883,0,0,0,0,0,0.004214935,0,0,0,0,0,0.000107845,0,0,8.99E-06,0.00508668,2.70E-05,0,4.49E-05,0,0,0,0.033980103,0.688310521,8.99E-06,0,7.19E-05,0,0,0.000125819,0.000620108,0,3.59E-05,0,0.027922819,0.000107845,0,9.89E-05,0.000125819,0,0,0,0,0,4.49E-05
0.005369108,0,0,0,0.000156165,0.035984919,0.060949038,0.004015676,0.000111547,0.000141292,0.010225101,0,0.000431313,0.000252839,0.046262075,0.001249321,6.69E-05,0.000111547,0,5.95E-05,0.15351037,0,0,4.46E-05,7.44E-06,0,0.009243491,0,0,0,0,0,0.001070847,0,7.44E-06,2.23E-05,0.00064697,0.000275148,0,7.44E-06,3.72E-05,0,0,0.043280064,0.593621024,0,0,0,7.44E-06,0,0.000200784,0.000907245,0,2.23E-05,0,0.031277654,0.000185911,0,4.46E-05,0.000193347,0,0,0,0,0,0
0.001543662,0,0,0,0,0.00553403,0.169617635,0.000632902,1.54E-05,4.63E-05,0.003071888,0,6.95E-05,9.26E-05,0.007888115,0.002222874,2.32E-05,3.86E-05,0,0,0.055757089,7.72E-06,0,0,0.000123493,0,0.000740958,0,0,0,0,0,3.86E-05,0,0,1.54E-05,0.000169803,1.54E-05,0,0,3.86E-05,7.72E-06,0,0.006576002,0.743875519,0,0,0,7.72E-06,0,6.95E-05,0.000308732,0,7.72E-06,0,0.001026536,1.54E-05,0,0,0.000316451,0,0,0,0,0,8.49E-05
0.003151711,0,7.15E-06,0,5.72E-05,0.013450159,0.070038021,0.001865298,7.15E-06,0.000178668,0.021182928,0,2.14E-05,0.000100054,0.037877705,0.001579429,1.43E-05,0.000228696,7.15E-06,1.43E-05,0.031009691,0,0,0.000242989,0,0,0.004938395,0,0,0,0,1.43E-05,0,0,0,7.15E-05,0.000750407,8.58E-05,0,7.15E-06,0,1.43E-05,0,0.013986164,0.773669992,0,0,2.86E-05,0,0,2.14E-05,0.00035019,0,7.15E-06,0,0.024270318,0.000157228,7.15E-06,7.86E-05,5.00E-05,3.57E-05,0,0,0,0,0.000421657
