Taxon,Intensity,landuse,city,Richness.fam,Richness.otu,Gloniaceae,Elaphomycetaceae,Discinaceae,Pezizaceae,Pyronemataceae,Tuberaceae,Chaetosphaeriaceae,Amanitaceae,Cortinariaceae,Hydnangiaceae,Hygrophoraceae,Inocybaceae,Strophariaceae,Tricholomataceae,Atheliaceae,Boletaceae,Gyroporaceae,Paxillaceae,Rhizopogonaceae,Sclerodermataceae,Suillaceae,Cantharellaceae,Clavulinaceae,Hydnaceae,Hysterangiaceae,Albatrellaceae,Russulaceae,Sebacinaceae,Bankeraceae,Thelephoraceae,
84,Low,Ref,Potchefstroom,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
85,Low,Ref,Potchefstroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Low,Rem,Potchefstroom,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
87,Low,Rem,Potchefstroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Low,Rem,Potchefstroom,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
89,Low,Rem,Potchefstroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Low,Rem,Potchefstroom,7,8,0,0,0,0,10,0,0,0,4,0,0,0,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,47
91,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,High,Turf,Potchefstroom,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,261,4,0,0,0,0,0,0,0,0,0,13,280
93,High,Turf,Potchefstroom,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,54
94,High,Turf,Potchefstroom,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,0,6,0,0,0,16
95,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
96,High,Rud,Potchefstroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,High,Rud,Potchefstroom,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
98,High,Rud,Potchefstroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,High,Rud,Potchefstroom,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11
100,High,Rud,Potchefstroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
