o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31
0.281920869,0.073109086,0,0.221917124,0.040345731,0.001497753,0,0.024338492,0.00068647,0.001372941,0.000218422,0.203476036,0,3.12E-05,0.025742636,0,0,0,0,0,0.004961308,0.021904643,0,0,0.000405642,0.000811283,9.36E-05,0.001154518,0,0,0.096012232
0.008756567,0.001059262,0,0.002570476,0.029970058,0,9.89E-05,0.011397661,1.41E-05,1.41E-05,0,0.851886899,0,0.000197729,0.052948986,0,0,0,0,0,0.000805039,0.000451952,8.47E-05,0,0,0,0,0,0,1.41E-05,0.039729394
0.01446939,0.024267684,0,0.017048716,0.02521134,0.000747061,0.002068179,0.017434042,0,7.86E-05,7.86E-06,0.189635513,7.86E-06,0.000314552,0.540353085,0,0,0,0,7.86E-06,0.010914953,0.032304486,0,0,0.014139111,0.000102229,0,8.65E-05,0,0,0.110800928
0.016656435,0.005729486,0,0.001718846,0.002578269,0.000777573,0,0.025700839,0,0,4.09E-05,0.622304072,0,0.000491099,0.15567833,0,0,0,0,0,0.003560467,0.087742992,0,0,0,0,0,0,0,0,0.077020667
0.015497267,0.002758413,0,0.003560861,0.00506545,0.000401224,0.000752294,0.012387783,0,0.000752294,0.000150459,0.195847334,0,0.000200612,0.549726666,0,0,0,0,0,0.0109835,0.027032449,0,0,0.001755354,0,0,0,0,0,0.173128041
0.019458315,0.001302649,0,0.002171081,0.018250651,5.43E-05,6.78E-05,0.040531372,0,4.07E-05,0.000122123,0.458980135,0,0.000122123,0.091117564,0,0,0,0,0,0.001682588,0.008643617,0,0,0,0,0,0,0,0,0.35745495
0.022428991,0.002742409,0,0.020812929,0.018070519,0.000195886,0,0.022722821,0,0,0.001175318,0.807786484,0,0,0.008765916,0,0,0,0,0,0.000734574,0.082419197,0,9.79E-05,4.90E-05,0,0,0,0,0,0.011998041
0.019416333,0.007766533,0,0.048599671,0.005530713,0.011061426,0,0.070487173,0,0,0.009296305,0.725111791,0,0,0.008590257,0.000117675,0,0,0,0,0.002706519,0.082254648,0,0,0,0,0,0.000353024,0,0,0.008707931
0.03230817,0.001708605,0,0.044151911,0.012775707,0.000815471,0,0.017785026,0,0,0.000310655,0.726001864,0.000116496,0,0.005125815,0.000349487,0,0,0,0,0.001126126,0.145386766,0,0,0.000271824,0,0,0.001048462,0,0,0.010717614
0.093625498,0.027888446,0,0.167330677,0.043824701,0.059760956,0,0.065737052,0,0,0.003984064,0.205179283,0,0.011952191,0.097609562,0,0,0,0,0,0.017928287,0.151394422,0,0,0,0,0,0.049800797,0,0,0.003984064
0.039986479,0.013898831,0,0.147419073,0.007516106,0.003459795,0,0.109580052,0,0.000795355,0.000815239,0.087767438,0,0.001113497,0.010518572,0.005348763,0,0,0,0,0.010140778,0.533981548,0,0,0,0,0,0.000437445,0,0,0.027221029
