o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66,o67,o68,o69,o70,o71,o72,o73,o74,o75,o76,o77,o78,o79,o80,o81,o82,o83,o84,o85,o86,o87,o88,o89,o90,o91,o92,o93,o94,o95,o96,o97,o98,o99,o100,o101,o102,o103,o104,o105,o106,o107
0.030204949,0.013932965,0,0,0.000720671,0,0.001643635,0,1.26E-05,0.00030344,0,0.005575715,0.00045516,0,0,0.003299913,0.011214646,1.26E-05,0,0.003312556,0,0,0.000214937,0,0.003729786,5.06E-05,0,0.006397532,0.003021759,6.32E-05,0,0,0.00011379,0,0,0.012377834,0,0,0.001188474,0.005133198,0,0,0.020368427,0.000429874,0,2.53E-05,0,0.004968834,0,0.000973537,0,0.000518377,0.000771244,0.114245256,0.000910321,0,0.002503382,0.018269632,0,0,0,0,0,0,0.000278154,0.555637035,0.06015703,0.030558962,0.002313732,0,0,0,0,0,0,0,0,0,0.002478095,0,0,0.00026551,0.00805381,3.79E-05,0,0,0,0,0.000619524,0,0.043619536,0,0,0,0,3.79E-05,0,0,0,0,0,0,0,0,0.000733314,0.025969428,0.002275802
0.171668256,0.037835987,0,0,0.002910461,0,0.009856434,0.000635899,0,0.012644606,0,0.170958985,9.78E-05,0.000366865,0,0.006261159,0.014747964,0.001271798,0,0.000244577,0,0,0,0,0.001491917,0,0,0.016998068,0,0,0,0,0.000366865,0.000244577,0,0.004182258,0,0.006823685,0.038398513,0.002616969,0.000464695,0,0.322571967,0.023968499,0,0.000244577,0,0.005185022,0.000782645,0.004280089,0,0.000293492,0,0.032944457,0,0,0,0.00073373,0,0,0.000391322,0,0,0.000317949,0.003008291,0.01041896,0.00520948,0,0,0,0,0,0,0,0,0,0,0,0.000293492,0,0.004573581,0.001418544,0.00083156,0.001076137,0,0,0,0,0.000195661,0,0.001051679,0,0,0,0.003301783,0.001443001,0.001222883,0,0,0,0,0,0,0,0.009880891,0.062929538,0.000342407
0.169142318,0.061530127,0,0,0.005993989,0,0.016269397,0.000157277,0,0.000821334,0,0.248269957,0,0,0,0.008894869,0.033954285,1.75E-05,0,0.000122326,0,0,0,0,0.003722214,0,0,0.013455893,0,0,0,0,0.000576681,0.000699007,0,0,0,0,0.023853628,0.01462673,0.002778554,0,0.181077869,0.003984342,0,1.75E-05,0,0.005487208,0,0.000594156,0,0.001712568,0.003687264,0.028204949,1.75E-05,0,0,0.020078988,0.00043688,0,0.000349504,0,0,0.003495037,0.002219349,0.000681532,0,0.000594156,0.003197959,0,0,0,0.001240738,0,0,1.75E-05,0,0,0.000699007,0,0.000227177,0.002691179,0.002918356,0.002533902,0,0,0,0,0,0,0,0.000594156,0,0,0.00050678,0.000349504,8.74E-05,0,0,0,0.000384454,0,1.75E-05,0,0.010729764,0.116087656,0.000192227
0.074442049,0.037575857,0,0,0.000600486,0,0.004394465,0,0.002347354,0.016613442,0,0.005140523,0.000100081,0.00268399,0,0.010963416,0.016003858,0,0,0.000391226,0,0,0,0,0.000327538,0,8.19E-05,0.009125565,0.011008907,0,0,0,1.82E-05,9.10E-06,0,0.000127376,0,0,0.000627781,0.011281855,0,0,0.016558852,0.000345734,0,9.10E-06,0,0.000218358,0,0.000782451,0,0.00173777,0.000118278,0.478669105,0,0,0.000254752,0.00726042,0,0,2.73E-05,0,0,0,0.000282046,0.056891485,6.37E-05,0.053479634,0.00047311,0,0,0,0,0,0,0,0,0,0.005631829,0,0,0,0.013147001,0,0,0,0,0,0.045263895,0,0,0,0,9.10E-06,0,3.64E-05,0,0,0,0,0,9.10E-06,0,0,0.010435716,0.095286186,0.009143762
0.272430203,0.050571066,0,0,0.001998731,0,0.00517132,0,0,0.01778236,0,0.009089467,0.000253807,0.001459391,0,0.016719543,0.112325508,0.000253807,0,0.000237944,0,0,0.000190355,0,0.000999365,0,0,0.027458756,0.017290609,0,0,0,1.59E-05,9.52E-05,0,0.006202411,0,0,0.002791878,0.002982234,0,4.76E-05,0.022461929,3.17E-05,0,0.000301396,0,0.000935914,0,0.000793147,6.35E-05,0.001269036,0.000618655,0.200618655,0.005139594,0.000126904,9.52E-05,0.000682107,0.001284898,0,0.000348985,0,0,0,0.002030457,0.010247462,0.000285533,0.037325508,0.004584391,0,0,0,0,3.17E-05,0,0,0,0,0.004758883,0,0,0.000618655,0.035374365,0,0,0,0,0,0.029394036,0,1.59E-05,4.76E-05,0,0,0,7.93E-05,3.17E-05,0,0,0,0,0,0,1.59E-05,0.005234772,0.063245558,0.02553934
0.321452255,0.109033074,0,0,0.00184433,0.000176144,0.013086456,8.29E-05,9.33E-05,0.000310842,0,0.112939324,0.000227951,0,0,0.089646883,0.010589357,0,0,0.000341926,0,0,0,0,0.00442432,0,0.006859251,0.038057444,0.009449602,0,0,0,0,0.000113975,0,0.000290119,0,0,0.002693966,0.005097812,2.07E-05,3.11E-05,0.04709259,0.000186505,0,0.00044554,0,0.001315899,0,0.012133206,2.07E-05,0.006993949,0.000227951,0.039611655,0,0,0.000880719,0.002932278,0,0,0.003419264,0,0,1.04E-05,0.002901194,0.003035892,0.001129393,0.002041197,0,0,0,0,0,0,0,1.04E-05,0,0,0.000373011,0,0,0.009242374,0.04444007,0.000839274,0,0,0,0,0,0,0.052521966,0.000414456,0,0,0,0.00021759,0,0,0,0,0,0,0,0,0.004579741,0.036119861,0
0.040751227,0.004944831,0,0,5.82E-05,0,0.000959879,0,0.002297892,0.000193915,0,0.001289534,0,5.82E-05,0,0.00323838,0.001095619,0,0,0.000562353,0,0,0,0,0.000300568,0,0,0.00512905,0.000533266,0.001493145,0,0,0,0,0,0,0,0,0.00038783,0.000572049,0,0,0.0889197,0.000639919,0,0,0,6.79E-05,0,9.70E-06,0,0.003655297,0.001270143,0.213005876,0.014175183,0,0.001425275,0,0,9.70E-06,0,0,0,0,0.000155132,0.529339332,2.91E-05,0.042486765,0.002249413,0,0,0,0,0,0,0,0,0,0.010490799,0,0,0,2.91E-05,0,0,0,0,0,0.001483449,0,0,0,0,0,0,0,2.91E-05,0,0,0,0,0,0,0,0.000620528,0.015009017,0.011033761
0.058979682,0.021160195,0,0,0.0002042,0,0.000672157,0,4.25E-05,0.00329272,0,0.002203655,2.55E-05,0.000450941,0,0.004066978,0.020164721,0,0,0.000578566,0,0,0,0,0.000144641,0,0.065965014,0.005147534,0.001208182,0.000553041,0,0,0,0,0,0.001029507,0,0,0.000459449,0.001803764,0,0,0.082258449,0.00116564,0,0,0,6.81E-05,0,2.55E-05,1.70E-05,0.034509751,0.000195691,0.265434095,0.10343566,0,0.006823674,0.009725011,0,0,0,0,0,1.70E-05,0.0002042,0.110565633,0.018182282,0.081994691,0.005198584,0,0,0,0,0,0,0,0,0,0.010065344,0,0,8.51E-06,0.000629616,0,0,0,0,0,0.010950209,0,0,0,0,0,0,8.51E-06,3.40E-05,0,0,0,8.51E-06,0,0,0,0.001250723,0.044753769,0.024316782
0.359035733,0.136638742,0,0,0.003419388,0,0.013301419,0.000889041,0,0.025064114,0,0.199247735,0,0,0,0.004069072,0.014156266,0.001538725,0,0.000991622,0,0,0,0,0.001401949,0,3.42E-05,0.00687297,0,0,0,0,0.000581296,0.000102582,0,0,0,0,0.008616858,0.000752265,0.004103266,0,0.039596512,0.000478714,0,0.01921696,0,0.038673277,0.001641306,0.000102582,0,0.008445888,0,0.039835869,0,0,0,0.006394255,0,0,0,0,0,0.000581296,0.00290648,0.001401949,0.005300051,0.001743888,0,0,0.000820653,0,0,0,0,3.42E-05,0,0,0.002154214,0,0,0.002188408,0.011044623,3.42E-05,0,0,0,0,0.001265174,0,0.0016755,0,0,0.000170969,0,0,0.001880663,0,0,0,0,0.000307745,0,0,0,0.0312874,0
0.281920869,0.073109086,0,0,0.00215302,0,0.022996755,0.000312032,0,0.026117074,0,0.170338243,0,0.00078008,0,0.024244883,0.013074139,0.00224663,0,0.001497753,0,0,0,0,0.005897404,0,0,0.018441088,0,0,0,0,0.000436845,0.000249626,0.000218422,0.001154518,0,0.000218422,0.045026211,0.000811283,0.001747379,3.12E-05,0.120225911,0.004399651,0,0.002309036,0,0.015351972,0,0.01357339,0,3.12E-05,0.000124813,0.014571892,0,0,0,0.004555667,0,0,0.000312032,0,0,0.001903395,0,0.003619571,0.000343235,0.000312032,0,0,0,0,0,0,0,0,0,0,0.004961308,0,0,0.019283575,0.00078008,0.001840989,0,0,0,0,0.000405642,0,0.000811283,9.36E-05,0,0,0,0.001154518,0,0,0,0,0,0,0,0,3.12E-05,0.095981028,0
